index	tag	archive_name	expected_size	archive_sha256	exe_sha256	text_sha256	rdata_sha256	models_sha256	stadium_sha256	title_sha256	exe_size	build_banner	fingerprint_meta	handler_sha256	status
0	2021-07-08	Trackmania 2021.7.8.1939.zip	1966239131	777da762cc419955fd85c1b7a5c31f8e808fb76a8348e56946fa6e7a350a9ec0	aabfb5229589112797e4420c1978dae4ecdb7f0abb9d0936b0b6657e6edff61e	a216a014fa485a1d5fc2438fc36c8b419ca6c5d7e4e627168a122fc0fa8384bf	5b2fa314367bdb40602fe1ca0b41c5240847efa6c43b18572a9abeac750cd4cf	079cb8f67c99871b8a31698db9a33d48cae7a4634e1b8830e651b86cc8d05a27	234e89676af79db690beb1efca318075f499c5236a4bbf8a5d5d26d950259a7c	04b9b89fd0546a64c00ddba05c6b30b3e14debe16db1e63a1ba5b7b888976f96	43183896	date=2021-07-07_08_00 git=105481-88bf0d159f8 GameVersion=3.3.0	string_va=0x141a9cb10;dispatcher=0x1405dd250;handler=0x1405ed330;instructions=1743;float_ops=562;switch_calls=21 	6d30fc0b7c35004b98f8a09cfdd0026ea021096556c6be98cebab8acb5a5b0e0	OK
1	2022-01-21	Trackmania 2022.1.21.1554.zip	2018130584	7c12195ada3f29bb72f5d32c09b873341ca17907aa02a2277e390fcea3b9ae3f	e2255c415f0f7fc2d0a66512fa7609256c42cf639a5380b7a5bcdbb4486ab75b	4f0f83249c83230620b4691846baaae9760d09f3c9c5a10080ef98ee22ef0118	e45e20bfd1ca62b08d991e4e75b700c3e7fd45e793df66136fd8072db1694f97	771eb1a6f95986d7e1cd0865dbdf14d7b977e1ec1c0cf80552f90055a2f900bd	c6889d1ec78b56f3de50a1563ed00a29a8b0d8cb1670f0e0feef9ea837ba1377	e9c8cede42f97077e07c2e915156262ad5e7f99cc5c3fdf5c5ab7feb6c0f9149	43134232	date=2022-01-21_16_00 git=105899-1ab53b42729 GameVersion=3.3.0	string_va=0x141a9cfa8;dispatcher=0x1405de610;handler=0x1405edeb0;instructions=1749;float_ops=566;switch_calls=21 	18fa8b69f86e2553a4062a7147d6d2f63da21013dacec8497e00f1b4a78184f9	OK
2	2022-09-30	Trackmania 2022.9.30.1013 (202209291140-202209301013).zip	2244426261	1a3d3f78edf9d624525ee6b8d9375f57a47259ff9f1e58a2af231d96ce5d2bae	1f5ce9877e327d690cc9d6b5ab02fbe6157452e85e15e622ce46deeac91fe1be	b06bf30e6a620e1408f41a14b4419abe98aaf18d8fa6f8c815faa617f7ab9d28	62b2275f25493ab586454e14ace80e13e44afcbe8c80f60ff2bac04c12479dec	c57f0aadc8d1d16911c3e8592b05a6b4066d182e3b6c9b94ef9ed7c86646cfdd	7e0d24ef8e613ec0cd408c21c2801e033c075858ac126e115159954879b0f073	d29175aafd9270f770bb0f879a82da45dc0569b63b130899e20ca740b7c76b72	42053888	date=2022-09-21_21_00 git=115078-3a5a3c86a32 GameVersion=3.3.0	string_va=0x141a26bc0;dispatcher=0x1406e3a30;handler=0x1406f2030;instructions=1731;float_ops=558;switch_calls=30 	4e005fbe9b164cb2c595294ff60899e9012f46dbdd38e92a3e455e66c73aab53	OK
3	2022-10-06	Trackmania 2022.10.6.2104.zip	2321576865	d185024ae9e6ff538182252bec225cf27c68d9f927bf1e83288171fdfdd0a8dd	441b3aeb6b878f87b40c0994fcf2ab478e13ed2d1b1b47d341899b56cb931ad5	c87f5adc337823b22aba7072665ca65a62d5f118899f019d290b26af12f874a9	a8e5aec2182f985046d51929c193a88593cc10658cbdf16aa0cc0bac04d7a01e	c57f0aadc8d1d16911c3e8592b05a6b4066d182e3b6c9b94ef9ed7c86646cfdd	7e0d24ef8e613ec0cd408c21c2801e033c075858ac126e115159954879b0f073	ce6f6b9b9756a71dcc06c56bed27dd644cb7892346b6442a15fd0c0cdc568b8d	42041088	date=2022-09-21_21_00 git=115078-3a5a3c86a32 GameVersion=3.3.0	string_va=0x141a27c70;dispatcher=0x1406e3cc0;handler=0x1406f22c0;instructions=1731;float_ops=558;switch_calls=21 	4e005fbe9b164cb2c595294ff60899e9012f46dbdd38e92a3e455e66c73aab53	OK
4	2022-12-20	Trackmania 2022.12.20.1307.7z	2355981188	28d04fbff6ba249f727f8da9779b02a3065477d6b05df358f2f9ac4502b5c25e	aca2b757a039fbf971992b28d21f61edf1ed355c339cf31e0e4e0bb989c5b5fb	55c103edc3afdf8909d91a87e806faecdd8f4bea8443b9ff7f26e518011a2a07	e1dfcbf418c54686b9b518bd753071e1d4f19ea1d41724df1533050b506f900e	734d3a420c50a87e12c00d80eff6452804d452ca45203e83cecbd08715dda8f2	4066a782ec595c4059f1223f537cc1ac55390864bde971699175200ad2c01860	bbbc69f62a6a025c35517c0cf778744bd6b53603e64fd026ce06c11b7a01404e	42404096	date=2022-12-20_13_00 git=116075-ccd5f8c75e4 GameVersion=3.3.0	string_va=0x141a7fab0;dispatcher=0x140761520;handler=0x14076fc20;instructions=1731;float_ops=558;switch_calls=21 	ae944fc431437b1bda7e7c409f2b6af05bf25f118a9b47a64a7bbdaec591f25b	OK
5	2023-01-02	Trackmania 2023.1.2.1409 2023-01-09.7z	2282660508	3aa9bc43e48464fffc9bd0c0a7b5ad58f49645a14e002d717ea146051f354043	7cd52c961c550aad9c6af72671c77f4cfcdc2cf5961b6c1f709cfe7a61c16cd4	907bc5bca280a8811b0681440cfa25c3a2adcfe67c7102ba089c561f64c28548	3c740943987dd4c77ac8ada76c3000a18ef77340939115678261bcb1d74cb2e9	734d3a420c50a87e12c00d80eff6452804d452ca45203e83cecbd08715dda8f2	4066a782ec595c4059f1223f537cc1ac55390864bde971699175200ad2c01860	7be4c7849d0ceb1110cb5f7d20c4640affd117e0157ac374d5aec283fb38fe0c	42411776	date=2022-12-20_13_00 git=116075-ccd5f8c75e4 GameVersion=3.3.0	string_va=0x141a7fab0;dispatcher=0x140761520;handler=0x14076fc20;instructions=1731;float_ops=558;switch_calls=21 	ae944fc431437b1bda7e7c409f2b6af05bf25f118a9b47a64a7bbdaec591f25b	OK
6	2023-01-13	Trackmania 2023.1.13.16.25.7z	2324916754	e156ac147c4f3cc0981e6fe852c9203e70a1d4aca2d58f524f133be6bddc6d2a	68311e228221587af2688f10fe5a2539cc27fc2bc705fa088c85b81e685e435d	c776b5a793a05ca87b3a24c3069e5b30e1e87912ad86b6ec15b199266582dfa0	58730e2044bcd3b38b2446ec61075940ae5dafabce897bd8953091e6da3b34a5	012eadb149ae15066565f4a40a6f4d497971a46a991dd417edd5dc04331bd115	8454a672fd24c7a35c39a5397c7ba279c0d7a440a6d26b55617e059c1100141c	2205751085863782b0ffc6c834b5d32e73fb25b52548ab335f35a49fceac7c13	42424064	date=2023-01-12_18_00 git=116222-bdc358d613c GameVersion=3.3.0	string_va=0x141a876f8;dispatcher=0x140762a90;handler=0x140771190;instructions=1731;float_ops=558;switch_calls=21 	ae944fc431437b1bda7e7c409f2b6af05bf25f118a9b47a64a7bbdaec591f25b	OK
7	2023-01-26	Trackmania 2023.1.26.1532.7z	2323390164	34a2d610e0a3796e83a9746270d37549b4a52f81647f3c6f250737ae4f179404	2e34b6680fc79ef6c3193aaf6104603a1c0f1c1ecc8ac747aa031b8cade4b1d5	fdb288281da6cf085b552c6e29c0c1b565574ad90e90e180240e34c8d6b8d93c	7ecbde25c1fd92f8d69cc4c000befa09bfb64dc5390ce5421f3d6b5f7ff7ee9b	6816635e03f8f607cea1caa4b6869d0bb0a6319d5854895deeb2bf92b287a4be	8454a672fd24c7a35c39a5397c7ba279c0d7a440a6d26b55617e059c1100141c	2205751085863782b0ffc6c834b5d32e73fb25b52548ab335f35a49fceac7c13	42461952	date=2023-01-26_12_00 git=116302-3a238afa12d GameVersion=3.3.0	string_va=0x141a88790;dispatcher=0x140762be0;handler=0x1407712e0;instructions=1731;float_ops=558;switch_calls=21 	ae944fc431437b1bda7e7c409f2b6af05bf25f118a9b47a64a7bbdaec591f25b	OK
8	2023-03-28	Trackmania 2023.3.28.1952.7z	2535940063	9fcd9684e14e64a92ffb3ae1d8e9e1d9386ff19cb30c1aa294f0472c890a602e	b4dc416bf82345a2a79869770979dc21307ad967ceae49035f1d0c1e7bd1605d	7bc941b4118a4290d10d41e253017b2fed9792e407a3445d47040fdd9727d78a	2d7afbfb0f616e58f06b24217df6c417228875fc8362da89655e0af3b9f1a0d0	8f78d28d4dd0efe5d3c95a94849723722a845ba2bb0d0f7daa36fe8a99086c26	6b0710a75da0ddd24fddeab0e5f1c8e5eae835b22ac0086e225abdea7db74caa	5067863971cd642e71e037c58ab899c2743a80512f8c3449e9ba7a849b8511a9	44707072	date=2023-03-28_20_00 git=120685-f4c2211bf5b GameVersion=3.3.0	string_va=0x141b31628;dispatcher=0x140799160;handler=0x1407a7a10;instructions=1731;float_ops=558;switch_calls=21 	ae944fc431437b1bda7e7c409f2b6af05bf25f118a9b47a64a7bbdaec591f25b	OK
9	2023-03-31	Trackmania 2023.3.31.1317.7z	2214179963	7fb251a3ce96e857f8f2c8e581b73b324cde3fa9387c73e2b2b93ed78824ba43	1cb63f0dc620cbd723d0ae81d6f52a2228764c6152a9c24df4b00693a713be4a	e0cf58646bd57afef29fed02cac80f7b4710f46ffb39d6c0ef1261b036548182	3ac1deb3ab910269a3dcc2964dd750140b93cec6c1d053cf7bf5dcbc2075bc26	8f78d28d4dd0efe5d3c95a94849723722a845ba2bb0d0f7daa36fe8a99086c26	256c8a4ba3ce9c0411c7f4150c8d28780a3cd94e2625c8773bb8795c5328b338	f51ee7ae49508f6010af2355c7d38979bb44cc1562ce3540fd598b38e82b7906	44687616	date=2023-03-31_12_00 git=120731-028e6af8437 GameVersion=3.3.0	string_va=0x141b31878;dispatcher=0x140799640;handler=0x1407a7ef0;instructions=1731;float_ops=558;switch_calls=26 	ae944fc431437b1bda7e7c409f2b6af05bf25f118a9b47a64a7bbdaec591f25b	OK
10	2023-05-05	Trackmania 2023.5.5.2105.7z	2399853909	888aa87041412a53e186d24fa3db79465371c650565061aafa0f690c10a28743	58075294bb048d6546058e0d76e0da164ff0756b3c4dbfd8cf494c9ed99a6906	98dddfcca0c36360afe788dd3096011e866ceb4f64bb3ab74fc005aeb4987809	93662b95216592d9fa488e69f6a09a7928973230903f3ba80292184dac1dc86e	8f78d28d4dd0efe5d3c95a94849723722a845ba2bb0d0f7daa36fe8a99086c26	a929d5f0f2bff2cf9d7cb0b8971adee8c10c42f6dc113e914db78954360c0d58	694af52c61ed21d471da17798b269f6a7a9db00553cce546456276036a10a534	43243776	date=2023-05-03_18_00 git=121132-c2811168ed4 GameVersion=3.3.0	string_va=0x141b396f8;dispatcher=0x14079e580;handler=0x1407ace10;instructions=1731;float_ops=558;switch_calls=21 	ae944fc431437b1bda7e7c409f2b6af05bf25f118a9b47a64a7bbdaec591f25b	OK
11	2023-06-23	Trackmania 2023.6.23.1627.7z	2330228513	d6f4904dbfb17e65435e01a8f18efdf1afe34525e3e68cf49f3207820f539e4f	a3aea28d0dedfe15a71879288365216428e08e12773bdf8218c4c195a3ba8ac7	2e0ee42f8f7d6ad5722322ba4f6caffde272398c233a254d91d810f050311c7b	e999c8290c048a7b8c308642a1620355a9b621849471e3c9bc3b9facc938cd19	f3ad7e7310be03b206e89753c7f4b13214bf1eb41cc665984b7de1f3a66c987c	eb38f823abdc8ed30675956173f1d0e1c4af8f9d2670d4470ca7fb9b8c5dbd14	2bb93636c2e35d9b8a9a248f69947ba5badc722831d9ddaebaad84df669ab7f3	44851968	date=2023-06-23_10_00 git=121457-c153abf4383 GameVersion=3.3.0	string_va=0x141b4a318;dispatcher=0x1407a8600;handler=0x1407b6e80;instructions=1736;float_ops=564;switch_calls=21 	38edf9bb6ed4d9583067e73aa152d7c17539068d10b78c3426ebe987fa312aa2	OK
12	2023-07-10	Trackmania 2023.7.10.1957.7z	2330140901	6308eb3b5bdba3baaa4147f5eb84701b452a1f5877c99269953d8e22585dbd8a	72e935cb168e9434591b0e03ac99057bd48df92c261d82c4a051ae86198d2580	0ef76a91bb2dd1ea900d9a90ec3a7e97a66d296a868d34c20c4b015fd7897461	ebd33f67427065580b8c94db13bf691d061a466a76b42a10c34d9cb2305c2ea9	f3ad7e7310be03b206e89753c7f4b13214bf1eb41cc665984b7de1f3a66c987c	eb38f823abdc8ed30675956173f1d0e1c4af8f9d2670d4470ca7fb9b8c5dbd14	2bb93636c2e35d9b8a9a248f69947ba5badc722831d9ddaebaad84df669ab7f3	44819712	date=2023-07-03_10_00 git=121459-0756db30791 GameVersion=3.3.0	string_va=0x141b4b3d8;dispatcher=0x1407a8600;handler=0x1407b6e80;instructions=1736;float_ops=564;switch_calls=21 	38edf9bb6ed4d9583067e73aa152d7c17539068d10b78c3426ebe987fa312aa2	OK
13	2023-08-31	Trackmania 2023.8.31.1717.7z	2462722619	8bcf87a519b303b23e8783d39ba5db2d8db820b4ed614e277657220db23da004	8ebd780ddc67f6d78003a8dd9e4b01656845944935fe47012d73d4c1cf4105e2	c49c8e31b5d063564ada9aecd51ccafd81425bd275bcd93c9f95f0f6889c3f4c	c54c3a852efcea50aa4645e72029b82f07ab0ceeefdd292127fdd3d81263b7b4	f3ad7e7310be03b206e89753c7f4b13214bf1eb41cc665984b7de1f3a66c987c	eb38f823abdc8ed30675956173f1d0e1c4af8f9d2670d4470ca7fb9b8c5dbd14	c8b040f6b68983a7a81618e08a815e355f845f32ee6a30dda403b3ab8b3338ba	43372032	date=2023-08-03_08_28 git=121519-c1a257596dd GameVersion=3.3.0	string_va=0x141b4de18;dispatcher=0x1407aa6b0;handler=0x1407b8f20;instructions=1736;float_ops=564;switch_calls=21 	38edf9bb6ed4d9583067e73aa152d7c17539068d10b78c3426ebe987fa312aa2	OK
14	2023-09-25	Trackmania 2023.9.25.2351.7z	2293449937	dea4553d474dfd7f7b30edfced9ff3dad6b497840243525ee516979f7c6f7b1b	5ba89afa57cbeba9d9b89b483d77e6e2d27efdbe7f7f46e758ab86825886ccd4	c6a5bd1ce96ec1cd8b0c71e3c11906c25b3ac65b1438d3d4d16af32016ddc3a7	cee7999995e677ec3fc0b2a21a0a2e33cb8afc50ef8b09c6766da338c96a3f98	ae413a0117b96c6be414232cc6530431cc2badb1dff72842f7a7679bfaa0972d	eb38f823abdc8ed30675956173f1d0e1c4af8f9d2670d4470ca7fb9b8c5dbd14	965cb62c278cfe36f3a4b47509b5a5cc3e7baa61a2d646b739012c1e9bc5b469	44843520	date=2023-09-21_12_00 git=121577-05ef3895994 GameVersion=3.3.0	string_va=0x141b50f80;dispatcher=0x1407ab120;handler=0x1407b99a0;instructions=1736;float_ops=564;switch_calls=21 	3de9c7244e03c7938af5283646bbe995bdf3fd9f75ba5834abccf094f83f236b	OK
15	2023-11-15	Trackmania 2023.11.15.1156.7z	2346684424	643bd866ebc794ef2134ebdaba0282baf85b26aa6c11afbc95200e00ef43748f	9b06fc115dd09a156734b7d8104dd61b1aff3d755173679008a8a05b218a069e	d1e9dc15bdee944302f92f416ac27ea1e57b49e7c7fef14298be9cde8c05ada0	72faf0c0e1de691ab0d02d0845fd3fb01415808f1fabae004d630b0222fbc709	89907cd3a81537ae8af52b9afa57004f97e205692bfa639476b607df7b8ecdb7	7622fe09cf199b3fee4af60f79c99f887d7c3af3f9d346e7facb52aabda918ac	e4ca573626ca8f51d85867ea17ff99241bbdbeabc12808e558d62a21cb571a84	44751376	date=2023-11-14_18_00 git=126525-67cbc13da6d GameVersion=3.3.0	string_va=0x141b43030;dispatcher=0x1407cf780;handler=0x1407dd3d0;instructions=1807;float_ops=605;switch_calls=21 	848728c480f8e63eebbef365c9eff22f1cdb4468da39a816225094b0ca2282df	OK
16	2023-11-24	Trackmania 2023.11.24.1734.7z	2346716228	aef6f31228b73f136dacfc1ca18a56ebafe28908ce75abb43b62978ea8f97907	55ec461689ac023c606f6bfd70c6078497abf3382725f6c4f87d4e73d36fbeb5	5cd709343c7ee32494b352daba9431d9f6e6e4d97a86b0233b47ba680ed36cd5	44951b27ff729878246da9bd5a96b899ab1e83db804550b6254bcfc22f7496ed	89907cd3a81537ae8af52b9afa57004f97e205692bfa639476b607df7b8ecdb7	7622fe09cf199b3fee4af60f79c99f887d7c3af3f9d346e7facb52aabda918ac	e4ca573626ca8f51d85867ea17ff99241bbdbeabc12808e558d62a21cb571a84	44771864	date=2023-11-24_17_00 git=126568-a31a67dc4d9 GameVersion=3.3.0	string_va=0x141b454d0;dispatcher=0x1407d0930;handler=0x1407de580;instructions=1807;float_ops=605;switch_calls=21 	848728c480f8e63eebbef365c9eff22f1cdb4468da39a816225094b0ca2282df	OK
17	2023-12-21	Trackmania 2023.12.21.2350.7z	2465788003	be77d8e1699d1287e4e2efaae86dfa581585cd5ddefcd8e4fa08a21ff038e1ae	1b96dd5831470189f110074bc0d5b4306bf4e30c1bae66d265ca83dee65eb2cb	9cf8eafa8406f296860ecfde01b394f1b9d3f00de6b5ea8d53da0c7da81b6f65	3dd79e0debfa95eb323f9bca2b3f0d2a73891975e52f614f0b6bdb444825485b	8a2d6cd8e92b7f7891721fa820294a7b841ee5775a98c66814e42518e64edbd1	b24759c0a710ce25e87f90afe0c519d2fd2477e4bf7510a5e5fc8bc632b2ebc7	2f109722cbc7257fe25c02cdb3f34b94415b2c3f3333a074bedbf978bb0d0199	45016600	date=2023-12-20_14_00 git=126701-a9af8acef5f GameVersion=3.3.0	string_va=0x141b72798;dispatcher=0x1407d7120;handler=0x1407e3c70;instructions=2701;float_ops=1002;switch_calls=21 	931a718784d6cb779900f332fcfe9df1e71891aa40e555035a01c4d31e851fbb	OK
