# completing-run time differences, 2020-07-23 -> 2020-09-11
# delta_ms = resim(2020-09-11) - resim(2020-07-23); positive = the same inputs finish SLOWER on 2020-09-11
replay	declared_ms	resim_a_ms	resim_b_ms	delta_ms	map_uid
2020-10-01_17_00__1786.Replay.Gbx	58368	58368	58368	0	rE70pnOIESt5UyB0ZGi_gTg7dl
2020-10-02_15_02__1505.Replay.Gbx	12430	12430	12430	0	eOA1X_xnvKbdDSuyymweOZzSrQ3
2020-10-02_15_02__1517.Replay.Gbx	7118	7118	7118	0	btmbJWADQOS20ginP9DJ0i8sh3f
2020-10-02_15_02__1530.Replay.Gbx	23705	23705	23705	0	qQEgNKxDhXtTsxWYRW0V4pvpER7
2020-10-02_15_02__1531.Replay.Gbx	18502	18502	18502	0	OHRxJCE_cKxEGOGmhF9z6Hf0YZb
2020-10-02_15_02__1536.Replay.Gbx	18045	18045	18045	0	EnMnBg3D4Uvb5bz8VLod73z6n47
2020-10-09_10_58__10442.Replay.Gbx	11420	11420	11420	0	cG7cn50v07PahgJfxPiwqQGYk1a
2020-10-09_10_58__10443.Replay.Gbx	14788	14788	14788	0	KtoEqmn6MhKo2SI6EwsjIGvOJha
2020-10-09_10_58__10592.Replay.Gbx	31402	31402	31402	0	VJU4LhXOtTTX32I9XyeLuowS8Vf
2020-10-09_10_58__10640.Replay.Gbx	25470	25470	25470	0	8TrzhmnV4NAY8x4LNqlVjbOa3og
2020-10-09_10_58__10932.Replay.Gbx	25235	25235	25235	0	d299OUWLoPUehZ9GbjcGTqEepmf
2020-10-20_18_09__11661.Replay.Gbx	7442	7442	7442	0	olsKnq_qAghcVAnEkoeUnVHFZei
2020-10-20_18_09__11890.Replay.Gbx	47225	47225	47225	0	n3hhSpLrqwfek3mZPA9FjfLX08l
2020-10-20_18_09__12606.Replay.Gbx	25091	25091	25091	0	pkRGIkL6n1QuOzEv6sXLTWh0kvd
2020-10-20_18_09__13078.Replay.Gbx	20166	20166	20166	0	zODoP2_lcAOsDlg4Zt4lckK_CWc
2020-10-20_18_09__13715.Replay.Gbx	24035	24035	24035	0	Yoe1Un4Wiaq8YtDLETlQqRfOlV4
2020-11-04_13_10__12971.Replay.Gbx	131943	131943	131943	0	scyodl5tQ8kVQ2MVvb4zQ3c2zih
2020-11-04_13_10__12977.Replay.Gbx	75543	75543	75543	0	qYNOLLDcHcQDAOF14kOkxFgPLMi
2020-11-05_16_41__13477.Replay.Gbx	45737	45737	45737	0	n3hhSpLrqwfek3mZPA9FjfLX08l
2020-11-05_16_41__13817.Replay.Gbx	34523	34523	34523	0	rplEVFajO_kd5rMtSIhCvPm4rV5
2020-11-05_16_41__13823.Replay.Gbx	7108	7108	7108	0	btmbJWADQOS20ginP9DJ0i8sh3f
2020-11-05_16_41__13827.Replay.Gbx	10545	10545	10545	0	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
2020-11-05_16_41__13828.Replay.Gbx	11289	11289	11289	0	LcBa4OZLeElnJksgbBEpQggitsh
2020-12-09_10_00__18049.Replay.Gbx	7335	7335	7335	0	ga3zTKvSo7yJca60Ry_Z003L031
2020-12-09_10_00__18087.Replay.Gbx	27640	28598	28598	0	Yakz8xDlVWDfVCfXxW2_paCaHil
2020-12-09_10_00__18088.Replay.Gbx	16970	16970	16970	0	TVUF91YlnL78BFJwG5ADkNlymqe
2020-12-09_10_00__18091.Replay.Gbx	14875	14875	14875	0	0hI2P3y8sENgIkruI_X7s3efES
2020-12-22_13_18__21653.Replay.Gbx	13083	13083	13083	0	tNwb8CcvhtQfhoelFV1fmf2Xog4
2020-12-22_13_18__21657.Replay.Gbx	13016	13016	13016	0	dtF4NIoE1C_zVkHeCQPGgxEOISk
2020-12-22_13_18__21658.Replay.Gbx	13186	13186	13186	0	IH3u4MKfc9ClvbqwlfI9elBiNV0
2020-12-22_13_18__21709.Replay.Gbx	17801	17801	17801	0	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-01-07_18_56__22543.Replay.Gbx	24665	24665	24665	0	d299OUWLoPUehZ9GbjcGTqEepmf
2021-01-07_18_56__22627.Replay.Gbx	26128	26137	26137	0	Yakz8xDlVWDfVCfXxW2_paCaHil
2021-01-07_18_56__22956.Replay.Gbx	15867	15867	15867	0	RlZ2HVhAwN5nD7I1lLciKhPsbb7
2021-01-07_18_56__23103.Replay.Gbx	22948	22948	22948	0	TT6wX0GuWhxePDAFa3oXcCwVpda
2021-01-18_21_14__23808.Replay.Gbx	5055	5055	5055	0	PhJGvGjkCaw299rBhVsEhNJKX1
2021-01-18_21_14__23810.Replay.Gbx	12195	12195	12195	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-01-18_21_14__23811.Replay.Gbx	11911	11911	11911	0	OeJCW8sHENIcYscK8o5zVHAxADd
2021-01-20_18_40__67286.Replay.Gbx	9826	9826	9826	0	1gBRKXaec_u6J09bc9zzUVYJdpb
2021-01-21_13_59__24147.Replay.Gbx	17931	17931	17931	0	EnMnBg3D4Uvb5bz8VLod73z6n47
2021-01-22_14_32__24318.Replay.Gbx	8880	8880	8880	0	RifafWipVfAnc3QNgkH15W5HHWd
2021-01-22_14_32__24340.Replay.Gbx	9538	9538	9538	0	Sh0Wn3XR1to1p0BA91drETfmK10
2021-01-22_14_32__24638.Replay.Gbx	7592	7592	7592	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-01-22_14_32__24639.Replay.Gbx	7127	7127	7127	0	btmbJWADQOS20ginP9DJ0i8sh3f
2021-01-28_14_21__25445.Replay.Gbx	7525	7525	7525	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-01-28_14_21__25470.Replay.Gbx	7387	7387	7387	0	ga3zTKvSo7yJca60Ry_Z003L031
2021-01-28_14_21__25473.Replay.Gbx	11109	11109	11109	0	LcBa4OZLeElnJksgbBEpQggitsh
2021-02-04_14_14__26486.Replay.Gbx	45323	45323	45323	0	c0sqNxHfe6caoZoVlDTxMYuGK7j
2021-02-04_14_14__26540.Replay.Gbx	11330	11330	11330	0	AJFJd6yABuSMfgJGc8UpWRwUVa0
2021-02-04_14_14__26638.Replay.Gbx	12131	12131	12131	0	eOA1X_xnvKbdDSuyymweOZzSrQ3
2021-02-04_14_14__26887.Replay.Gbx	17838	17838	17838	0	HUdTz2jn1G6ApGgUlmsQVtyufik
2021-02-15_13_23__27497.Replay.Gbx	7524	7524	7524	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-02-15_13_23__27525.Replay.Gbx	33061	33061	33061	0	elw_cfD5HwYo_YjwgsVQD9vmVL8
2021-02-15_13_23__27552.Replay.Gbx	8262	8262	8262	0	vTqUpE1iiXupNABp5Mfx0YOf33j
2021-02-15_13_23__27556.Replay.Gbx	11807	11807	11807	0	DyNBxhQ6006991FwvVOaBX9Gcv1
2021-02-15_13_23__27576.Replay.Gbx	17408	17408	17408	0	f1tlOzXvdELVhwrhPpoJDsg9xs8
2021-03-01_15_48__29004.Replay.Gbx	12114	12114	12114	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-03-01_15_48__46763.Replay.Gbx	11005	11005	11005	0	AJFJd6yABuSMfgJGc8UpWRwUVa0
2021-03-04_14_18__29607.Replay.Gbx	16852	16852	16852	0	CQknkNKyjbhJtMb62sKOMVqMyJd
2021-03-04_14_18__29652.Replay.Gbx	44375	44375	44375	0	UCt8g5jH0J9UPVWdGeymZTfic4d
2021-03-04_14_18__30423.Replay.Gbx	21941	21941	21941	0	7Gmd3uEXAF8iPhtRfyotTXYv709
2021-03-12_16_50__29801.Replay.Gbx	122385	122385	122385	0	scyodl5tQ8kVQ2MVvb4zQ3c2zih
2021-03-12_16_50__30237.Replay.Gbx	16962	16962	16962	0	f1tlOzXvdELVhwrhPpoJDsg9xs8
2021-03-12_16_50__30399.Replay.Gbx	21798	21798	21798	0	DmYYk4xCZUpMEHR_lzrcSA4q8K7
2021-03-17_16_13__30466.Replay.Gbx	7582	7582	7582	0	u5hN_zlxSURCj2RZueFsh4kc5gk
2021-03-25_18_51__31926.Replay.Gbx	12107	12107	12107	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-03-25_18_51__32397.Replay.Gbx	7475	7475	7475	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-03-30_19_17__33232.Replay.Gbx	7469	7469	7469	0	ga3zTKvSo7yJca60Ry_Z003L031
2021-04-02_16_48__32675.Replay.Gbx	7451	7451	7451	0	ga3zTKvSo7yJca60Ry_Z003L031
2021-04-02_16_48__32794.Replay.Gbx	11212	11212	11212	0	LcBa4OZLeElnJksgbBEpQggitsh
2021-04-02_16_48__32795.Replay.Gbx	12128	12128	12128	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-04-09_17_52__34061.Replay.Gbx	16602	16602	16602	0	f1tlOzXvdELVhwrhPpoJDsg9xs8
2021-04-09_17_52__34246.Replay.Gbx	11898	11898	11898	0	OeJCW8sHENIcYscK8o5zVHAxADd
2021-04-26_16_34__36392.Replay.Gbx	75794	75794	75794	0	27IP3GR32HInO7o2KjykrLj7KZk
2021-05-06_12_37__37601.Replay.Gbx	18938	18938	18938	0	1rwAkLrbqhN47zCsVvJJFJimlcf
2021-05-20_15_27__38972.Replay.Gbx	5043	5043	5043	0	PhJGvGjkCaw299rBhVsEhNJKX1
2021-05-20_15_27__39348.Replay.Gbx	18067	18067	18067	0	EnMnBg3D4Uvb5bz8VLod73z6n47
2021-05-20_15_27__40357.Replay.Gbx	28170	28170	28170	0	NTOwbZ9DaOT8rNOUxSP8LRzeZWc
2021-06-01_17_46__56007.Replay.Gbx	9533	9533	9533	0	_oMKNgRlOI5OHz5Fg2LiPNVfC7b
2021-06-03_13_02__45747.Replay.Gbx	26351	26351	26351	0	Yakz8xDlVWDfVCfXxW2_paCaHil
2021-06-03_13_02__49706.Replay.Gbx	10498	10498	10498	0	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
2021-06-03_13_02__49709.Replay.Gbx	11798	11798	11798	0	OeJCW8sHENIcYscK8o5zVHAxADd
2021-06-03_13_02__56061.Replay.Gbx	13791	13791	13791	0	8THofErQjtbZiVT0bnQp37LCn8e
2021-06-03_13_02__56067.Replay.Gbx	11211	11211	11211	0	vzc3_e9GmAn76YYXxjWVU58qtf6
2021-06-09_20_13__41909.Replay.Gbx	11250	11488	11488	0	AJFJd6yABuSMfgJGc8UpWRwUVa0
2021-06-09_20_13__41950.Replay.Gbx	5023	5039	5039	0	PhJGvGjkCaw299rBhVsEhNJKX1
2021-06-09_20_13__41953.Replay.Gbx	15827	15827	15827	0	RlZ2HVhAwN5nD7I1lLciKhPsbb7
2021-06-10_16_38__46774.Replay.Gbx	10488	10515	10515	0	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
2021-06-11_11_30__42558.Replay.Gbx	7434	7434	7434	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-06-11_17_46__45733.Replay.Gbx	11218	11198	11198	0	LcBa4OZLeElnJksgbBEpQggitsh
2021-06-11_17_46__45744.Replay.Gbx	15788	15788	15788	0	RlZ2HVhAwN5nD7I1lLciKhPsbb7
2021-06-11_17_46__45749.Replay.Gbx	17460	17458	17458	0	OHRxJCE_cKxEGOGmhF9z6Hf0YZb
2021-06-12_17_56__45736.Replay.Gbx	12104	12104	12104	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-06-12_17_56__45746.Replay.Gbx	16414	16405	16405	0	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-06-12_17_56__45750.Replay.Gbx	22555	22566	22566	0	qQEgNKxDhXtTsxWYRW0V4pvpER7
2021-06-15_16_02__45731.Replay.Gbx	8222	8224	8224	0	lNP8O0sqatiHqecUXrhH65rpQ8a
2021-07-01_13_02__44700.Replay.Gbx	7407	7407	7407	0	ga3zTKvSo7yJca60Ry_Z003L031
2021-07-01_13_02__44719.Replay.Gbx	15802	15924	15924	0	TVUF91YlnL78BFJwG5ADkNlymqe
2021-07-06_18_45__45760.Replay.Gbx	12191	12178	12178	0	eOA1X_xnvKbdDSuyymweOZzSrQ3
2021-07-08_10_19__45778.Replay.Gbx	18081	18075	18075	0	OHRxJCE_cKxEGOGmhF9z6Hf0YZb
2021-07-08_19_39__45875.Replay.Gbx	12114	12114	12114	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-07-08_19_39__46184.Replay.Gbx	5025	5041	5041	0	PhJGvGjkCaw299rBhVsEhNJKX1
2021-07-08_19_39__46206.Replay.Gbx	11169	11149	11149	0	LcBa4OZLeElnJksgbBEpQggitsh
2021-07-08_19_39__46723.Replay.Gbx	10501	10537	10537	0	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
2021-08-11_17_04__49725.Replay.Gbx	12181	12226	12226	0	eOA1X_xnvKbdDSuyymweOZzSrQ3
2021-08-11_17_04__49851.Replay.Gbx	16904	17372	17372	0	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-08-11_17_04__49941.Replay.Gbx	8198	8305	8305	0	vTqUpE1iiXupNABp5Mfx0YOf33j
2021-08-11_17_04__50149.Replay.Gbx	8365	8743	8743	0	u5hN_zlxSURCj2RZueFsh4kc5gk
2021-08-25_15_46__50970.Replay.Gbx	11795	11795	11795	0	OeJCW8sHENIcYscK8o5zVHAxADd
2021-08-25_15_46__51097.Replay.Gbx	11028	11010	11010	0	LcBa4OZLeElnJksgbBEpQggitsh
2021-08-25_15_46__51278.Replay.Gbx	10471	10510	10510	0	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
2021-09-02_11_24__51808.Replay.Gbx	6992	6994	6994	0	btmbJWADQOS20ginP9DJ0i8sh3f
2021-09-02_11_24__52418.Replay.Gbx	15348	15597	15597	0	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-10-04_17_59__58012.Replay.Gbx	39247	22433	22433	0	K8gih4oSvCG34IG1r2HY1UqAur
2021-10-04_17_59__58621.Replay.Gbx	9564	9564	9564	0	JR9OBQPyFoXaRthczOecmSBVYV1
2021-10-04_17_59__58643.Replay.Gbx	14738	14680	14680	0	xicnjunizfo5ZFTjSgj2Yn6qey3
2021-10-21_17_33__57903.Replay.Gbx	12091	12091	12091	0	us4gaCDQSxmjVMtp5nYfReezTqh
2021-10-21_17_33__57924.Replay.Gbx	13015	13015	13015	0	0hI2P3y8sENgIkruI_X7s3efES
2021-10-28_13_03__59630.Replay.Gbx	7090	7090	7090	0	btmbJWADQOS20ginP9DJ0i8sh3f
2021-10-28_13_03__59654.Replay.Gbx	7370	7368	7368	0	ga3zTKvSo7yJca60Ry_Z003L031
2021-12-03_11_42__61613.Replay.Gbx	16424	19227	19227	0	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-12-03_11_42__62097.Replay.Gbx	12983	12983	12983	0	0hI2P3y8sENgIkruI_X7s3efES
2021-12-14_16_24__64512.Replay.Gbx	5017	5033	5033	0	PhJGvGjkCaw299rBhVsEhNJKX1
2021-12-14_16_24__65961.Replay.Gbx	21190	21187	21187	0	qQEgNKxDhXtTsxWYRW0V4pvpER7
2022-01-21_15_54__77457.Replay.Gbx	5020	5037	5037	0	PhJGvGjkCaw299rBhVsEhNJKX1
2022-02-10_12_06__78851.Replay.Gbx	7432	7432	7432	0	olsKnq_qAghcVAnEkoeUnVHFZei
2021-01-22_14_32__24315.Replay.Gbx	9524	9521	9524	3	_oMKNgRlOI5OHz5Fg2LiPNVfC7b
2021-09-30_13_48__54294.Replay.Gbx	12085	12081	12085	4	us4gaCDQSxmjVMtp5nYfReezTqh
2020-07-07_23_07__1071.Replay.Gbx	11916	11911	11916	5	OeJCW8sHENIcYscK8o5zVHAxADd
2021-01-28_14_21__25464.Replay.Gbx	7231	7218	7231	13	btmbJWADQOS20ginP9DJ0i8sh3f
2021-02-04_14_14__26536.Replay.Gbx	11186	11168	11186	18	LcBa4OZLeElnJksgbBEpQggitsh
2020-12-09_10_00__18085.Replay.Gbx	18924	18853	18924	71	OHRxJCE_cKxEGOGmhF9z6Hf0YZb
#
completing_on_both	194
identical_time	168
slower_on_b	6
faster_on_b	20
abs_delta_min_ms	1
abs_delta_median_ms	8
abs_delta_max_ms	1954
abs_delta_mean_ms	112.1
