variant	record_mode	corrupt_x_m	classification	validated_ms	validated_cps	declared_ms	declared_cps	description
00-no-record	none	0.000	accepted_finish_start_unmeasured	36011	4	41800	4	validated time is actually better! (41800 > 36011)
01-parent	parent	0.000	accepted_finish_start_unmeasured	36011	4	41800	4	validated time is actually better! (41800 > 36011)
02-descriptor	descriptor	0.000	accepted_finish_start_unmeasured	36011	4	41800	4	validated time is actually better! (41800 > 36011)
03-entity	entity	0.000	accepted_finish_start_unmeasured	36011	4	41800	4	validated time is actually better! (41800 > 36011)
04-first-sample	sample	0.000	accepted_finish_start_unmeasured	36011	4	41800	4	validated time is actually better! (41800 > 36011)
05-corrupt-start-x-plus-64m	sample	64.000	accepted_finish_start_unmeasured	36011	4	41800	4	validated time is actually better! (41800 > 36011)
