race_ms	brake	up	down	left	right	votes	conflicts	video_t
58150	1	1	0	0	1	1	0	498.400
58160	1	1	0	0	1	1	0	498.417
58180	1	1	0	0	1	1	0	498.433
58190	1	1	0	0	1	1	0	498.450
58200	1	1	0	0	1	1	0	498.467
58210	1	1	0	0	1	1	0	498.483
58230	1	1	0	0	1	1	0	498.500
58240	1	1	0	0	1	1	0	498.517
58250	1	1	0	0	1	1	0	498.533
58260	1	1	0	0	1	1	0	498.550
58280	1	1	0	0	1	1	0	498.567
58290	1	1	0	0	1	1	0	498.583
58300	1	1	0	0	1	1	0	498.600
58320	1	1	0	0	1	1	0	498.617
58330	1	1	0	0	1	1	0	498.633
58340	1	1	0	0	1	1	0	498.650
58350	1	1	0	0	1	1	0	498.667
58370	1	1	0	0	1	1	0	498.683
58380	1	1	0	0	1	1	0	498.700
58390	1	1	0	0	1	1	0	498.717
58410	1	1	0	0	1	1	0	498.733
58420	1	1	0	0	1	1	0	498.750
58430	1	1	0	0	1	1	0	498.767
58440	1	1	0	0	1	1	0	498.783
58460	1	1	0	0	1	1	0	498.800
58470	1	1	0	0	1	1	0	498.817
58480	1	1	0	0	1	1	0	498.833
58490	1	1	0	0	1	1	0	498.850
58510	1	1	0	0	1	1	0	498.867
58520	1	1	0	0	1	1	0	498.883
58530	1	1	0	0	1	1	0	498.900
58550	0	1	0	0	1	1	0	498.917
58560	0	1	0	0	1	1	0	498.933
58570	0	1	0	0	1	1	0	498.950
58580	0	1	0	0	0	1	0	498.967
58600	0	1	0	0	0	1	0	498.983
58610	0	1	0	0	0	1	0	499.000
58620	0	1	0	1	0	1	0	499.017
58640	0	1	0	1	0	1	0	499.033
58650	0	1	0	1	0	1	0	499.050
58660	0	1	0	1	0	1	0	499.067
58670	0	1	0	1	0	1	0	499.083
58690	0	1	0	1	0	1	0	499.100
58700	0	1	0	0	0	1	0	499.117
58710	0	1	0	0	0	1	0	499.133
58720	0	1	0	0	0	1	0	499.150
58740	0	1	0	0	0	1	0	499.167
58750	0	1	0	0	0	1	0	499.183
58760	0	1	0	0	1	1	0	499.200
58780	0	1	0	0	1	1	0	499.217
58790	0	1	0	0	1	1	0	499.233
58800	0	1	0	0	1	1	0	499.250
58810	0	1	0	0	1	1	0	499.267
58830	0	1	0	0	1	1	0	499.283
58840	0	1	0	0	0	1	0	499.300
58850	0	1	0	0	0	1	0	499.317
58860	0	1	0	0	0	1	0	499.333
58880	0	1	0	0	0	1	0	499.350
58890	0	1	0	0	0	1	0	499.367
58900	0	1	0	0	0	1	0	499.383
58920	0	1	0	0	0	1	0	499.400
58930	0	1	0	0	0	1	0	499.417
58940	0	1	0	0	0	1	0	499.433
58950	0	1	0	0	0	1	0	499.450
58970	0	1	0	0	0	1	0	499.467
58980	0	1	0	0	0	1	0	499.483
58990	0	1	0	0	0	1	0	499.500
59010	0	1	0	0	0	1	0	499.517
59020	0	1	0	0	0	1	0	499.533
59030	0	1	0	0	0	1	0	499.550
59040	0	1	0	0	0	1	0	499.567
59060	0	1	0	0	0	1	0	499.583
59070	0	1	0	0	0	1	0	499.600
59080	0	1	0	0	0	1	0	499.617
59090	0	1	0	0	0	1	0	499.633
59110	0	1	0	0	0	1	0	499.650
59120	0	1	0	0	0	1	0	499.667
59130	0	1	0	0	0	1	0	499.683
59150	0	1	0	0	0	1	0	499.700
59160	0	1	0	0	0	1	0	499.717
59170	0	1	0	0	0	1	0	499.733
59180	0	1	0	0	0	1	0	499.750
59200	0	1	0	0	0	1	0	499.767
59210	0	1	0	0	0	1	0	499.783
59220	0	1	0	0	0	1	0	499.800
59240	0	1	0	0	0	1	0	499.817
59250	0	1	0	0	0	1	0	499.833
59260	0	1	0	0	0	1	0	499.850
59270	0	1	0	0	0	1	0	499.867
59290	0	1	0	0	0	1	0	499.883
59300	0	1	0	0	0	1	0	499.900
59310	0	1	0	0	1	1	0	499.917
59320	0	1	0	0	1	1	0	499.933
59340	0	1	0	0	1	1	0	499.950
59350	0	1	0	0	1	1	0	499.967
59360	0	1	0	0	1	1	0	499.983
59380	0	1	0	0	1	1	0	500.000
59390	0	1	0	0	1	1	0	500.017
59400	0	1	0	0	1	1	0	500.033
59410	0	1	0	0	1	1	0	500.050
59430	0	1	0	0	1	1	0	500.067
59440	0	1	0	0	1	1	0	500.083
59450	0	1	0	0	0	1	0	500.100
59460	0	1	0	0	0	1	0	500.117
59480	0	1	0	0	0	1	0	500.133
59490	0	1	0	0	0	1	0	500.150
59500	0	1	0	0	0	1	0	500.167
59520	0	1	0	0	1	1	0	500.183
59530	0	1	0	0	1	1	0	500.200
59540	0	1	0	0	1	1	0	500.217
59550	0	1	0	0	1	1	0	500.233
59570	0	1	0	0	1	1	0	500.250
59580	0	1	0	0	1	1	0	500.267
59590	0	1	0	0	1	1	0	500.283
59610	0	1	0	0	1	1	0	500.300
59620	0	1	0	0	1	1	0	500.317
59630	0	1	0	0	1	1	0	500.333
59640	0	1	0	0	1	1	0	500.350
59660	0	1	0	0	1	1	0	500.367
59670	0	1	0	0	1	1	0	500.383
59680	0	1	0	0	1	1	0	500.400
59690	0	1	0	0	0	1	0	500.417
59710	0	1	0	0	0	1	0	500.433
59720	0	1	0	0	0	1	0	500.450
59730	0	1	0	0	0	1	0	500.467
59750	0	1	0	0	0	1	0	500.483
59760	0	1	0	0	0	1	0	500.500
59770	0	1	0	0	1	1	0	500.517
59780	0	1	0	0	1	1	0	500.533
59800	0	1	0	0	1	1	0	500.550
59810	0	1	0	0	1	1	0	500.567
59820	0	1	0	0	1	1	0	500.583
59840	0	1	0	0	1	1	0	500.600
59850	0	1	0	0	0	1	0	500.617
59860	0	1	0	0	0	1	0	500.633
59870	0	1	0	0	0	1	0	500.650
59890	0	1	0	0	0	1	0	500.667
59900	0	1	0	0	0	1	0	500.683
59910	0	1	0	0	0	1	0	500.700
59920	0	1	0	0	0	1	0	500.717
59940	0	1	0	0	0	1	0	500.733
59950	0	1	0	0	1	1	0	500.750
59960	0	1	0	0	1	1	0	500.767
59980	0	1	0	0	1	1	0	500.783
59990	0	1	0	0	1	1	0	500.800
60000	0	1	0	0	1	1	0	500.817
60010	0	1	0	0	1	1	0	500.833
60030	0	1	0	0	0	1	0	500.850
60040	0	1	0	0	0	1	0	500.867
60050	0	1	0	0	0	1	0	500.883
60070	0	1	0	0	0	1	0	500.900
60080	0	1	0	0	0	1	0	500.917
60090	0	1	0	0	0	1	0	500.933
60100	0	1	0	0	1	1	0	500.950
60120	0	1	0	0	1	1	0	500.967
60130	0	1	0	0	1	1	0	500.983
60140	0	1	0	0	1	1	0	501.000
60150	0	1	0	0	1	1	0	501.017
60170	0	1	0	0	1	1	0	501.033
60180	0	1	0	0	1	1	0	501.050
60190	0	1	0	0	1	1	0	501.067
60210	0	1	0	0	0	1	0	501.083
60220	0	1	0	0	0	1	0	501.100
60230	0	1	0	0	0	1	0	501.117
60240	0	1	0	0	1	1	0	501.133
60260	0	1	0	0	1	1	0	501.150
60270	0	1	0	0	1	1	0	501.167
60280	0	1	0	0	1	1	0	501.183
60290	0	1	0	0	1	1	0	501.200
60310	0	1	0	0	0	1	0	501.217
60320	0	1	0	0	0	1	0	501.233
60330	0	1	0	0	0	1	0	501.250
60350	0	1	0	0	0	1	0	501.267
60360	0	1	0	0	0	1	0	501.283
60370	0	1	0	0	0	1	0	501.300
60380	0	1	0	0	0	1	0	501.317
