time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
1000,1583.37,18.009,791.701,56.3698,15.6583,-1.93117,-0.0477809,15.5387,-0.115304,0.00519633,0.00147833,-0.00255125,-0.0576216,-0.000887632,0.998335,1,49,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1050,1583.28,18.009,792.494,59.2007,16.4446,-2.02815,-0.0501805,16.319,-0.118097,0.00507537,0.00114103,-0.00249959,-0.0590154,-0.000719272,0.998254,1,51,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1100,1583.18,18.009,793.327,62.0496,17.236,-2.1264,2.60409e-16,17.1043,-0.119999,0.0055154,0.000954456,-0.00272412,-0.0599645,-0.000641721,0.998197,1,54,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1150,1583.08,18.01,794.199,64.9056,18.0293,-2.22359,0.0550161,17.8916,-0.1214,0.00633159,0.000828886,-0.00313482,-0.0606635,-0.000605714,0.998153,1,56,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1200,1582.97,18.011,795.111,67.7574,18.8215,-2.322,2.84363e-16,18.6777,-0.122315,0.00715086,0.000732478,-0.00354636,-0.0611204,-0.000584071,0.998124,1,59,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1250,1582.85,18.011,796.061,70.5932,19.6092,-2.41844,-0.0598371,19.4594,-0.122956,0.00769161,0.000632361,-0.0038191,-0.0614398,-0.000551854,0.998103,1,61,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1300,1582.73,18.011,797.05,73.4007,20.3891,-2.51463,-0.0622168,20.2333,-0.12343,0.00779812,0.000527341,-0.00387537,-0.0616765,-0.000503636,0.998089,1,64,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1350,1582.6,18.011,798.078,76.2436,21.1788,-2.87168,-0.0710511,20.9831,-0.123738,0.00750065,0.000416009,-0.00373028,-0.0618297,-0.000439479,0.99808,1,66,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1400,1582.47,18.01,799.145,79.1175,21.9771,-2.97992,-0.0737293,21.774,-0.123972,0.00677406,0.000407953,-0.00336789,-0.0619465,-0.000413392,0.998074,1,69,-0.00392157,1,0,-0.0305176,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
1450,1582.33,18.004,800.249,82.0176,22.7827,-3.02979,-0.607534,22.5721,-0.124147,0.00137393,0.000915811,-0.000657235,-0.0620339,-0.000499638,0.998074,1,71,-0.00392157,1,0,-0.0305176,True,True,0,0.054902,0.054902,0.00784314,0.00784314
1500,1582.19,17.975,801.384,84.939,23.5942,-2.95277,-1.23379,23.3761,-0.124386,-0.0237277,0.00439077,0.011977,-0.0621226,-0.00145301,0.997996,1,74,-0.00392157,1,0,-0.0305176,True,True,0,0.0862745,0.0705882,0.00784314,0.00784314
1550,1582.04,17.918,802.55,88.1407,24.4835,-3.0502,-1.95057,24.2143,-0.124801,-0.0708372,0.0101586,0.0356576,-0.0621408,-0.00284528,0.997426,1,76,-0.00392157,1,0,-0.0305176,True,True,0,0.117647,0.101961,0.00784314,0.00784314
1600,1581.89,17.815,803.754,91.5544,25.4318,-3.21308,-3.4182,24.9954,-0.125654,-0.128625,0.0184777,0.0647128,-0.0620656,-0.00509048,0.995959,1,79,-0.00392157,1,0,-0.0305176,True,True,0,0.117647,0.117647,0.054902,0.054902
1650,1581.72,17.645,805.001,95.1956,26.4432,-3.32585,-4.79876,25.7906,-0.126924,-0.181604,0.0269738,0.0913243,-0.0619523,-0.00743341,0.993864,1,81,-0.00392157,1,0,0,True,True,0,0.133333,0.117647,0.0862745,0.0862745
1700,1581.56,17.404,806.293,99.1797,27.5499,-3.43626,-6.18513,26.6258,-0.128482,-0.229156,0.0353191,0.115171,-0.0618042,-0.00971109,0.991374,1,86,-0.00392157,1,0,0,True,True,0,0.133333,0.133333,0.101961,0.101961
1750,1581.38,17.09,807.626,102.2,28.389,-3.48348,-7.53786,27.1473,-0.130107,-0.270524,0.0436727,0.13589,-0.0615679,-0.012041,0.988736,2,88,-0.00392157,1,0,0,True,True,0,0.133333,0.133333,0.133333,0.133333
1800,1581.21,16.709,808.975,103.745,28.818,-3.53366,-8.75999,27.226,-0.131854,-0.306255,0.0515043,0.153751,-0.0613516,-0.0141679,0.986101,2,83,-0.00392157,1,0,0,True,True,0,0.117647,0.133333,0.14902,0.133333
1850,1581.02,16.267,810.331,105.418,29.2828,-3.72734,-9.94215,27.29,-0.13346,-0.335823,0.0566495,0.16845,-0.06126,-0.0151677,0.983688,2,75,-0.00392157,1,0,0,True,True,0,0.101961,0.117647,0.14902,0.133333
1900,1580.84,15.773,811.698,107.225,29.7849,-3.76392,-10.8488,27.4822,-0.134736,-0.358301,0.0566674,0.179484,-0.0614986,-0.0140596,0.981736,2,68,-0.00392157,1,0,0,True,True,0,0.0862745,0.0862745,0.133333,0.117647
1950,1580.66,15.238,813.082,109.173,30.3258,-3.66294,-11.4661,27.8347,-0.135609,-0.374105,0.0541907,0.187156,-0.0618699,-0.0121295,0.980305,2,61,-0.00392157,1,0,0,True,True,0,0.054902,0.054902,0.101961,0.0862745
