time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
0,1584,18.002,784,0.810531,0.225147,0.00278466,-0.22513,0,0,0,0,0,0,0,1,1,0,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
50,1584,18.002,784.015,2.77579,0.771052,0.000471615,-0.0381285,0.770108,0,0,0,-0,0,0,1,1,3,-0.00392157,1,0,-0.0305176,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
100,1584,18.004,784.07,5.64592,1.56831,-0.00335433,0.038646,1.56783,0,0,0,-0,-0,0,1,1,7,0.00392157,1,0,-0.0305176,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
150,1584,18.007,784.165,8.51589,2.36553,-0.0140492,0.0866217,2.3639,-8.7756e-05,0.00391996,-0.000279584,-0.00195999,-4.36039e-05,0.000139705,0.999998,1,11,0.0352941,1,0,-0.0305176,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
200,1584,18.01,784.301,11.3581,3.15504,-0.0200423,0.0754204,3.15407,-0.000359044,0.00708012,-0.000281798,-0.00354008,-0.000179022,0.000140259,0.999994,1,16,0.0509804,1,0,-0.0610352,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
250,1584,18.014,784.476,14.1956,3.94323,-0.0287641,0.0393851,3.94293,-0.000977324,0.00982412,-0.000228712,-0.0049121,-0.000488094,0.000111949,0.999988,1,14,0.0666667,1,0,-0.0610352,False,True,0,0.0235294,0.0235294,0.00784314,0.00784314
300,1584,18.015,784.689,17.0123,4.72563,-0.0558911,-0.017096,4.72526,-0.00199867,0.0109396,-0.000147425,-0.00546985,-0.000998917,6.82409e-05,0.999985,1,14,0.0588235,1,0,-0.0610352,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
350,1584,18.014,784.941,19.8446,5.5124,-0.0831137,-0.108085,5.51071,-0.00339975,0.0104883,-7.33312e-05,-0.00524417,-0.00169966,2.77487e-05,0.999985,1,17,0.0588235,1,0,-0.0610352,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
400,1583.99,18.012,785.231,22.6675,6.29654,-0.0887149,-0.128004,6.29461,-0.0051183,0.00866864,9.18445e-06,-0.00433428,-0.00255914,-1.56841e-05,0.999987,1,19,0.0666667,1,0,-0.0610352,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
450,1583.99,18.009,785.561,25.5065,7.08514,-0.120028,-0.12769,7.08297,-0.00723484,0.0064349,0.000111805,-0.00321722,-0.00361757,-6.75396e-05,0.999988,1,22,0.0666667,1,0,-0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
500,1583.99,18.007,785.93,28.3304,7.86954,-0.16897,-0.0966285,7.86714,-0.00968854,0.0046242,0.000211802,-0.00231156,-0.00484448,-0.000117099,0.999986,1,24,0.0588235,1,0,-0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
550,1583.98,18.006,786.34,31.1849,8.66247,-0.211057,-0.0369161,8.65982,-0.0125385,0.00389858,0.000311141,-0.00194827,-0.00626952,-0.000167787,0.999978,1,27,0.0666667,1,0,-0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
600,1583.98,18.007,786.789,34.0535,9.45932,-0.233327,0.0173472,9.45642,-0.0155156,0.00430144,0.000415973,-0.00214904,-0.00775815,-0.000224663,0.999968,1,29,0.0588235,1,0,-0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
650,1583.97,18.009,787.278,36.8898,10.2472,-0.251521,0.031269,10.244,-0.0189354,0.00558285,0.000548293,-0.0027887,-0.00946828,-0.000300557,0.999951,1,32,0.0980392,1,0,-0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
