time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
7900,1209.16,10.012,972.325,325.686,90.4683,-90.4407,1.10758e-14,2.23768,-1.53822,-0.00169291,-0.00318714,-0.000500113,-0.695495,0.00173373,0.718529,4,84,-1,1,0,0.274658,True,True,0,-0.00784314,-0.00784314,-0.00784314,-0.00784314
7950,1204.63,10.019,972.515,326.991,90.8309,-90.692,2.2439,4.49193,-1.51988,-0.00383925,-0.00701211,-0.00102373,-0.688877,0.00386381,0.724867,4,85,-1,1,0,0.0610352,True,True,0,0.00784314,-0.00784314,0.00784314,0.00784314
8000,1200.09,10.025,972.798,327.974,91.1038,-90.8253,2.2472,6.75469,-1.49411,-0.00345634,-0.0168673,-0.00446249,-0.679465,0.00736182,0.733657,4,85,-1,1,0,-0.0915527,True,True,0,0.0235294,-0.00784314,-0.00784314,0.0235294
8050,1195.54,10.033,973.205,329.288,91.469,-90.9937,2.25137,9.03589,-1.46306,-0.00140096,-0.0304196,-0.00963869,-0.667941,0.0117858,0.744058,4,85,-1,1,0,-0.183105,True,True,0,0.0392157,-0.00784314,-0.00784314,0.0392157
8100,1190.99,10.042,973.756,330.278,91.7438,-90.8682,2.24826,12.4436,-1.42846,-0.000461839,-0.0435814,-0.0140981,-0.654885,0.0166149,0.755414,4,86,-1,1,0,-0.274658,True,True,0,0.054902,-0.00784314,-0.00784314,0.054902
8150,1186.45,10.05,974.468,331.27,92.0195,-90.6433,1.11006e-14,15.8545,-1.39123,0.000262238,-0.0544315,-0.0175399,-0.640617,0.0208059,0.767378,4,86,-1,1,0,-0.335693,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
8200,1181.92,10.056,975.35,332.598,92.3883,-90.3535,-1.10651e-14,19.2831,-1.35216,0.000772395,-0.0604942,-0.0192251,-0.625446,0.0233485,0.779681,4,86,-1,1,0,-0.396729,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
8250,1177.42,10.056,976.4,333.597,92.6658,-89.8176,-2.22227,22.6896,-1.31407,0.00107548,-0.0602545,-0.0188237,-0.610483,0.023523,0.791456,4,86,-0.00392157,1,0,-0.793457,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
8300,1172.93,10.05,977.602,334.934,93.0373,-89.5867,-2.21655,25.0048,-1.28467,0.00112862,-0.0532372,-0.0163961,-0.598844,0.020973,0.800423,4,87,-1,1,0,-0.457764,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
8350,1168.47,10.041,978.953,335.94,93.3168,-88.8639,-2.19867,28.397,-1.25631,0.00125071,-0.0430524,-0.0131548,-0.587507,0.0170483,0.808932,4,87,-1,1,0,-0.183105,True,True,0,0.0705882,-0.00784314,-0.00784314,0.054902
