time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
0,1584,18.002,784,0.810531,0.225147,0.00278466,-0.22513,0,0,0,0,0,0,0,1,1,0,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
50,1584,18.002,784.015,2.77579,0.771052,0.000471615,-0.0381285,0.770108,0,0,0,-0,0,0,1,1,3,-0.00392157,1,0,-0.0305176,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
100,1584,18.004,784.07,5.64592,1.56831,0.000479777,0.0387883,1.56783,0,0,0,-0,0,0,1,1,7,-0.00392157,1,0,-0.0305176,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
150,1584,18.007,784.165,8.51589,2.36553,0.00108535,0.087747,2.3639,-5.93932e-07,0.00391918,-0.000303092,-0.00195959,2.39981e-19,0.000151544,0.999998,1,11,-0.00392157,1,0,-0.0305176,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
200,1584,18.01,784.301,11.3581,3.15504,0.000965187,0.078032,3.15407,-1.2191e-06,0.00708642,-0.000344072,-0.0035432,4.33917e-19,0.000172029,0.999994,1,16,-0.00392157,1,0,-0.0305176,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
250,1584,18.014,784.476,14.1956,3.94323,0.000603201,0.0487668,3.94293,-1.66291e-06,0.00977335,-0.000340309,-0.00488666,-5.98443e-19,0.00017014,0.999988,1,14,-0.00392157,1,0,-0.0305176,False,True,0,0.0235294,0.0235294,0.00784314,0.00784314
300,1584,18.015,784.689,17.0123,4.72563,-0.0492399,-0.0314883,4.72526,-0.000142882,0.0109256,-0.000266942,-0.00546278,-7.07107e-05,0.000133071,0.999985,1,14,0.0352941,1,0,-0.0305176,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
350,1584,18.014,784.941,19.8446,5.5124,-0.0207472,-0.0649448,5.51198,-0.000646617,0.0104292,-0.000160682,-0.0052146,-0.000322885,7.86498e-05,0.999986,1,17,0.0352941,1,0,-0.0305176,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
400,1584,18.012,785.232,22.6675,6.29654,-0.0437093,-0.149482,6.29461,-0.00146633,0.00860034,-6.56987e-05,-0.00430018,-0.000733016,2.96951e-05,0.99999,1,19,0.0352941,1,0,-0.0305176,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
450,1584,18.009,785.562,25.5065,7.08514,-0.0327822,-0.0812673,7.0846,-0.00257551,0.00640452,1.55791e-05,-0.00320224,-0.00128777,-1.19131e-05,0.999994,1,22,0.0352941,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
500,1584,18.007,785.931,28.3587,7.87742,-0.0612829,-0.0757419,7.87681,-0.00390107,0.00461039,8.80051e-05,-0.0023051,-0.00195063,-4.84982e-05,0.999995,1,24,0.0352941,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
550,1583.99,18.006,786.341,31.2161,8.67114,-0.101748,-0.0338968,8.67047,-0.00545879,0.00390077,0.00015342,-0.00195017,-0.00272954,-8.20321e-05,0.999994,1,27,0.0352941,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
600,1583.99,18.007,786.79,34.0535,9.45932,-0.115708,0.0173008,9.45859,-0.00721652,0.00436483,0.000215979,-0.00218201,-0.00360848,-0.000115862,0.999991,1,29,0.0352941,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
650,1583.99,18.009,787.28,36.9267,10.2574,-0.123003,0.0310635,10.2566,-0.00920605,0.0057033,0.000282732,-0.00285096,-0.00460339,-0.000154488,0.999985,1,32,0.0352941,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
