time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
950,1584,18.009,791.045,53.9433,14.9843,0.00229216,-0.185313,14.9831,-2.56141e-07,0.00642315,-7.97569e-05,-0.00321157,-3.93304e-19,3.9877e-05,0.999995,1,47,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1000,1584,18.008,791.81,56.7658,15.7683,0.00241209,-0.19501,15.7671,-2.14917e-07,0.00556023,-7.7306e-05,-0.00278011,-3.40465e-19,3.86519e-05,0.999996,1,49,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1050,1584,18.008,792.614,59.557,16.5436,-0.408696,-0.0202363,16.5385,-0.0020618,0.00526479,0.00016376,-0.0026323,-0.00103111,-8.45923e-05,0.999996,1,52,1,1,0,-0.396729,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1100,1583.98,18.01,793.457,62.2983,17.3051,-0.428031,-5.24187e-17,17.2998,-0.019048,0.00559561,0.0018311,-0.00278895,-0.0095264,-0.000942138,0.99995,1,54,-0.00392157,1,0,-0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1150,1583.96,18.011,794.339,65.1657,18.1016,-0.671308,-0.0166095,18.0891,-0.0372857,0.00609396,0.00250436,-0.0030231,-0.0186455,-0.00130873,0.999821,1,56,-0.00392157,1,0,0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1200,1583.93,18.013,795.26,68.029,18.8969,-0.934238,-0.0231149,18.8738,-0.0500489,0.00654403,0.00369915,-0.0032247,-0.0250277,-0.00193082,0.99968,1,59,-0.00392157,1,0,0.0305176,True,True,0,0.00784314,0.0235294,0.00784314,0.00784314
1250,1583.88,18.014,796.219,70.8761,19.6878,-1.21639,-0.030096,19.6502,-0.0589347,0.00662333,0.00507121,-0.00323551,-0.0294712,-0.002632,0.999557,1,61,-0.00392157,1,0,0,True,True,0,0.00784314,0.0235294,0.00784314,0.00784314
1300,1583.82,18.014,797.218,73.6949,20.4708,-1.51591,-0.075059,20.4145,-0.0652695,0.00621792,0.00609533,-0.00300785,-0.0326381,-0.0031474,0.999458,1,64,-0.00392157,1,0,0,True,True,0,0.00784314,0.0235294,0.00784314,0.00784314
1350,1583.75,18.014,798.255,76.5492,21.2637,-1.57462,-0.0779661,21.2051,-0.0696572,0.00551436,0.00635485,-0.00264485,-0.03483,-0.00327144,0.999384,1,66,-0.00392157,1,0,0,True,True,0,0.00784314,0.0235294,0.00784314,0.00784314
1400,1583.68,18.012,799.331,79.3552,22.0431,-1.62984,-0.121174,21.9824,-0.0727714,0.0045193,0.00577571,-0.00215309,-0.036384,-0.0029681,0.999331,1,69,-0.00392157,1,0,0,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
1450,1583.6,18.001,800.444,82.264,22.8511,-1.85865,-0.670713,22.7655,-0.0748991,-0.0039249,0.00511841,0.00205688,-0.0374356,-0.00248391,0.999294,1,71,-0.00392157,1,0,0,True,True,0,0.054902,0.054902,0.00784314,0.00784314
