path	uid	decoration	waypoint_order	dir	cx	cy	cz	x	y	z	status
/var/svcscm/persistent/private-30d/tm-unbeaten/227654/map.Map.Gbx	bV_szgZIzzKGbW3Zujo8pjxZSC2	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/227654/map_seg2.Map.Gbx	bV_szgZIzzKGbW3Zujo8pjxZSC2	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/227969/map165_227969.Map.Gbx	LtSUTxJ71u7ayvLj57wUdVPyH2h	48x48Screen155Day	0	1	35	10	24	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/227969/map165_227969.Map.Gbx: RoadTechStart uses decoration "48x48Screen155Day", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
/var/svcscm/persistent/private-30d/tm-unbeaten/228607/map.Map.Gbx	k_wnFsncFgk0zxOANipiRPveqp7	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/228811/map.Map.Gbx	ZgaSSXHZYHB1wOSWmXnTmEQiLyk	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/238835/map.Map.Gbx	KHmZyqOJ9oTOvTFIRkxGNTTK1D8	NoStadium48x48Sunrise	3	3	28	23	22	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/238835/map.Map.Gbx: RoadTechStart uses decoration "NoStadium48x48Sunrise", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
/var/svcscm/persistent/private-30d/tm-unbeaten/249521/map.Map.Gbx	DwkgE7TRMbyvBu_ASI5z7YmaRtg	48x48Screen155Day	0	1	25	9	23	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/249521/map.Map.Gbx: RoadTechStart uses decoration "48x48Screen155Day", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
/var/svcscm/persistent/private-30d/tm-unbeaten/252289/map_eetemRii0Hscd6vEudBsy4mbMK3.Map.Gbx	eetemRii0Hscd6vEudBsy4mbMK3	48x48Screen155Day	0	0	16	9	22	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/252289/map_eetemRii0Hscd6vEudBsy4mbMK3.Map.Gbx: RoadTechStart uses decoration "48x48Screen155Day", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
/var/svcscm/persistent/private-30d/tm-unbeaten/267460/map_267460.Map.Gbx	KLiIUnR3oNZTnfJwL3GImI1VtOl	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/267460/ml_map_DETECTOR_ramp860.Map.Gbx	KLiIUnR3oNZTnfJwL3GImI1VtOl	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/267460/ml_map_SCREENREMOVED_z686.Map.Gbx	KLiIUnR3oNZTnfJwL3GImI1VtOl	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/267460/nowall686.Map.Gbx	KLiIUnR3oNZTnfJwL3GImI1VtOl	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/267859/map.Map.Gbx	auaaMFbt2cKnZPYjP11sySqEb_6	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/270051/map16.Map.Gbx	vsiB0RwTzQeq5Loh21CuloIzjf9	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/270053/map18_270053.Map.Gbx	6r7HjKPCuImnLMBfqiKwWpGK1U1	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/274191/map_274191_v1.Map.Gbx	ieMJgDjCjWkZ45apoiK2DPmQeQg	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/276874/276874.map.Map.Gbx	9wv8HirGqNFCJsFeVJg6ErKYH6b	NoStadium48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/276877/276877.map.Map.Gbx	qG5Osw7Uuwwi3VmqTCwIr3bbNUf	NoStadium48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/279197/map.Map.Gbx	_jkbEKnkKNw1B_TOgzbm5IYlkfc	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/279209/map.Map.Gbx	uKd2hMaH4k0KekCMv1rZUbrKFag	48x48Screen155Sunrise	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/279218/map.Map.Gbx	_Toadb_vTfXnT7PfAIpHypSJClk	48x48Screen155Day	0	1	35	15	11	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/279218/map.Map.Gbx: RoadTechStart uses decoration "48x48Screen155Day", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
/var/svcscm/persistent/private-30d/tm-unbeaten/284238/map.Map.Gbx	65bbJpDhtacfnZLT4E9YGGpRhMg	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/285268/map285268.Map.Gbx	c94vCARJWKM_FsXQ4dnaqQWUHqf	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/285885/map.Map.Gbx	bCvuulofsP5dkPvVma8nclZKZ2l	48x48Screen155Sunrise	0	3	4	9	20	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/285885/map.Map.Gbx: RoadTechStart uses decoration "48x48Screen155Sunrise", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
/var/svcscm/persistent/private-30d/tm-unbeaten/286279/map286279_v1.Map.Gbx	p0tVjdmb1DfkCVrDE_DfQN84kq8	48x48Screen155Day	3	1	28	12	24	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/286279/map286279_v1.Map.Gbx: RoadTechStart uses decoration "48x48Screen155Day", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
/var/svcscm/persistent/private-30d/tm-unbeaten/_key_altered_nadeo/key_348639_wood.Map.Gbx	mL0l4hdwICcZe3cCNUzMh0e0lO2	48x48Screen155Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/a3_scratch/s13_75000_node1.Map.Gbx	VHalgyxHqys7loscd1RQhgqp3Fe	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
